idx,name,pkgman
0,periapsisEngine,Nimble
1,niprefs,Nimble
2,lrparser,Nimble
3,py2nim,Nimble
4,rangequeries,Nimble
5,riff,Nimble
6,nim0,Nimble
7,libsaedea,Nimble
8,gsl,Nimble
9,onnxruntime,Nimble
10,bionim,Nimble
11,jhash,Nimble
12,tmplpro,Nimble
13,azure_translate,Nimble
14,PhylogeNi,Nimble
15,geminim,Nimble
16,arturo,Nimble
17,nimchromepath,Nimble
18,nimbitarray,Nimble
19,torim,Nimble
20,jupyternim,Nimble
21,randgen,Nimble
22,numnim,Nimble
23,filesize,Nimble
24,argon2_bind,Nimble
25,nbaser,Nimble
26,nio,Nimble
27,decisiontree,Nimble
28,tsv2json,Nimble
29,nimler,Nimble
30,zstd,Nimble
31,QuickJS4nim,Nimble
32,BitVector,Nimble
33,RollingHash,Nimble
34,BipBuffer,Nimble
35,whip,Nimble
36,elvis,Nimble
37,nimrun,Nimble
38,sequtils2,Nimble
39,github_api,Nimble
40,extensions,Nimble
41,nimates,Nimble
42,discordnim,Nimble
43,argument_parser,Nimble
44,genieos,Nimble
45,jester,Nimble
46,nanim,Nimble
47,templates,Nimble
48,murmur,Nimble
49,libtcod_nim,Nimble
50,nimgame,Nimble
51,nimgame2,Nimble
52,sfml,Nimble
53,enet,Nimble
54,locale,Nimble
55,fowltek,Nimble
56,nake,Nimble
57,nimrod-glfw,Nimble
58,chipmunk6,Nimble
59,chipmunk7_demos,Nimble
60,glfw,Nimble
61,ao,Nimble
62,termbox,Nimble
63,linagl,Nimble
64,kwin,Nimble
65,opencv,Nimble
66,nimble,Nimble
67,libnx,Nimble
68,switch_build,Nimble
69,aporia,Nimble
70,c2nim,Nimble
71,threading,Nimble
72,pas2nim,Nimble
73,ipsumgenera,Nimble
74,clibpp,Nimble
75,pastebin,Nimble
76,yahooweather,Nimble
77,noaa,Nimble
78,rss,Nimble
79,extmath,Nimble
80,gtk2,Nimble
81,cairo,Nimble
82,x11,Nimble
83,opengl,Nimble
84,lua,Nimble
85,tcl,Nimble
86,glm,Nimble
87,python,Nimble
88,NimBorg,Nimble
89,sha1,Nimble
90,dropbox_filename_sanitizer,Nimble
91,csv,Nimble
92,geonames,Nimble
93,gravatar,Nimble
94,coverartarchive,Nimble
95,ogg,Nimble
96,vorbis,Nimble
97,portaudio,Nimble
98,commandeer,Nimble
99,scrypt.nim,Nimble
100,bloom,Nimble
101,awesome_rmdir,Nimble
102,nimalpm,Nimble
103,png,Nimble
104,sdl2,Nimble
105,gamelib,Nimble
106,nimcr,Nimble
107,gtkgenui,Nimble
108,persvector,Nimble
109,pcap,Nimble
110,drawille,Nimble
111,binaryparse,Nimble
112,libkeepass,Nimble
113,zhsh,Nimble
114,termstyle,Nimble
115,combparser,Nimble
116,protobuf,Nimble
117,strslice,Nimble
118,jsonschema,Nimble
119,nimlangserver,Nimble
120,nimlsp,Nimble
121,optionsutils,Nimble
122,getmac,Nimble
123,macroutils,Nimble
124,ansiparse,Nimble
125,ansitohtml,Nimble
126,xevloop,Nimble
127,nancy,Nimble
128,imlib2,Nimble
129,notificatcher,Nimble
130,notifishower,Nimble
131,wxnim,Nimble
132,futhark,Nimble
133,ratel,Nimble
134,sdl2_nim,Nimble
135,assimp,Nimble
136,freeimage,Nimble
137,bcrypt,Nimble
138,opencl,Nimble
139,DevIL,Nimble
140,signals,Nimble
141,sling,Nimble
142,number_files,Nimble
143,redissessions,Nimble
144,horde3d,Nimble
145,mongo,Nimble
146,allegro5,Nimble
147,physfs,Nimble
148,shoco,Nimble
149,murmur3,Nimble
150,hex,Nimble
151,strfmt,Nimble
152,jade-nim,Nimble
153,gh_nimrod_doc_pages,Nimble
154,midnight_dynamite,Nimble
155,rsvg,Nimble
156,emerald,Nimble
157,niminst,Nimble
158,redis,Nimble
159,dialogs,Nimble
160,vectors,Nimble
161,bitarray,Nimble
162,appdirs,Nimble
163,sndfile,Nimble
164,bigints,Nimble
165,iterutils,Nimble
166,hastyscribe,Nimble
167,hastysite,Nimble
168,nanomsg,Nimble
169,directnimrod,Nimble
170,imghdr,Nimble
171,csv2json,Nimble
172,vecmath,Nimble
173,lazy_rest,Nimble
174,Phosphor,Nimble
175,colorsys,Nimble
176,pythonfile,Nimble
177,sndhdr,Nimble
178,irc,Nimble
179,random,Nimble
180,zmq,Nimble
181,uuid,Nimble
182,robotparser,Nimble
183,epub,Nimble
184,hashids,Nimble
185,openssl_evp,Nimble
186,maybe,Nimble
187,eternity,Nimble
188,gmp,Nimble
189,ludens,Nimble
190,ffbookmarks,Nimble
191,moustachu,Nimble
192,easy_bcrypt,Nimble
193,libclang,Nimble
194,nimqml,Nimble
195,XPLM-Nim,Nimble
196,csfml,Nimble
197,optional_t,Nimble
198,nimrtlsdr,Nimble
199,lapp,Nimble
200,blimp,Nimble
201,parsetoml,Nimble
202,compiler,Nimble
203,nre,Nimble
204,docopt,Nimble
205,bpg,Nimble
206,io-spacenav,Nimble
207,optionals,Nimble
208,tuples,Nimble
209,fuse,Nimble
210,brainfuck,Nimble
211,jwt,Nimble
212,pythonpathlib,Nimble
213,RingBuffer,Nimble
214,nimrat,Nimble
215,io-isense,Nimble
216,io-usb,Nimble
217,nimcfitsio,Nimble
218,glossolalia,Nimble
219,entoody,Nimble
220,msgpack,Nimble
221,osinfo,Nimble
222,io-myo,Nimble
223,io-oculus,Nimble
224,closure_compiler,Nimble
225,io-serialport,Nimble
226,beanstalkd,Nimble
227,wiki2text,Nimble
228,qt5_qtsql,Nimble
229,orient,Nimble
230,syslog,Nimble
231,nimes,Nimble
232,syscall,Nimble
233,jnim,Nimble
234,nimPDF,Nimble
235,LLVM,Nimble
236,nshout,Nimble
237,nsu,Nimble
238,nuuid,Nimble
239,fftw3,Nimble
240,nrpl,Nimble
241,geocoding,Nimble
242,io-gles,Nimble
243,io-egl,Nimble
244,io-sixense,Nimble
245,tnetstring,Nimble
246,msgpack4nim,Nimble
247,binaryheap,Nimble
248,stringinterpolation,Nimble
249,libovr,Nimble
250,delaunay,Nimble
251,linenoise,Nimble
252,struct,Nimble
253,uri2,Nimble
254,hmac,Nimble
255,mongrel2,Nimble
256,shimsham,Nimble
257,base32,Nimble
258,otp,Nimble
259,q,Nimble
260,bignum,Nimble
261,rbtree,Nimble
262,anybar,Nimble
263,astar,Nimble
264,lazy,Nimble
265,asyncpythonfile,Nimble
266,nimfuzz,Nimble
267,linalg,Nimble
268,sequester,Nimble
269,options,Nimble
270,oldwinapi,Nimble
271,nimx,Nimble
272,webview,Nimble
273,memo,Nimble
274,base62,Nimble
275,telebot,Nimble
276,tempfile,Nimble
277,AstroNimy,Nimble
278,patty,Nimble
279,einheit,Nimble
280,plists,Nimble
281,ncurses,Nimble
282,nanovg,Nimble
283,pwd,Nimble
284,spwd,Nimble
285,grp,Nimble
286,stopwatch,Nimble
287,nimFinLib,Nimble
288,libssh2,Nimble
289,rethinkdb,Nimble
290,dbus,Nimble
291,lmdb,Nimble
292,zip,Nimble
293,csvtools,Nimble
294,httpform,Nimble
295,quadtree,Nimble
296,expat,Nimble
297,sphinx,Nimble
298,sdl1,Nimble
299,graphics,Nimble
300,libffi,Nimble
301,libcurl,Nimble
302,perlin,Nimble
303,pfring,Nimble
304,xxtea,Nimble
305,xxhash,Nimble
306,libipset,Nimble
307,pop3,Nimble
308,nimrpc,Nimble
309,nimrpc_milis,Nimble
310,asyncevents,Nimble
311,nimSHA2,Nimble
312,nimAES,Nimble
313,nimeverything,Nimble
314,vidhdr,Nimble
315,gitapi,Nimble
316,ptrace,Nimble
317,ndbex,Nimble
318,spry,Nimble
319,nimBMP,Nimble
320,nimPNG,Nimble
321,litestore,Nimble
322,parseFixed,Nimble
323,playlists,Nimble
324,seqmath,Nimble
325,daemonize,Nimble
326,tnim,Nimble
327,ris,Nimble
328,geoip,Nimble
329,freegeoip,Nimble
330,nimroutine,Nimble
331,coverage,Nimble
332,golib,Nimble
333,libnotify,Nimble
334,nimcat,Nimble
335,sections,Nimble
336,nimfp,Nimble
337,nhsl,Nimble
338,nimstopwatch,Nimble
339,playground,Nimble
340,nimsl,Nimble
341,omnilog,Nimble
342,values,Nimble
343,geohash,Nimble
344,bped,Nimble
345,ctrulib,Nimble
346,nimrdkafka,Nimble
347,utils,Nimble
348,pymod,Nimble
349,db,Nimble
350,nimsnappy,Nimble
351,nimLUA,Nimble
352,sound,Nimble
353,nimi3status,Nimble
354,native_dialogs,Nimble
355,variant,Nimble
356,pythonmath,Nimble
357,nimlz4,Nimble
358,pythonize,Nimble
359,cligen,Nimble
360,fnmatch,Nimble
361,shorturl,Nimble
362,teafiles,Nimble
363,emmy,Nimble
364,impulse_engine,Nimble
365,notifications,Nimble
366,reactor,Nimble
367,asynctools,Nimble
368,nimcrypto,Nimble
369,collections,Nimble
370,capnp,Nimble
371,biscuits,Nimble
372,pari,Nimble
373,spacenav,Nimble
374,isense,Nimble
375,libusb,Nimble
376,myo,Nimble
377,oculus,Nimble
378,serialport,Nimble
379,gles,Nimble
380,egl,Nimble
381,sixense,Nimble
382,listsv,Nimble
383,kissfft,Nimble
384,nimbench,Nimble
385,nest,Nimble
386,nimbluez,Nimble
387,yaml,Nimble
388,jsmn,Nimble
389,mangle,Nimble
390,nimshell,Nimble
391,rosencrantz,Nimble
392,sam,Nimble
393,twitter,Nimble
394,stomp,Nimble
395,srt,Nimble
396,subviewer,Nimble
397,Kinto,Nimble
398,xmltools,Nimble
399,nimongo,Nimble
400,nimboost,Nimble
401,asyncdocker,Nimble
402,python3,Nimble
403,jser,Nimble
404,pledge,Nimble
405,sophia,Nimble
406,progress,Nimble
407,websocket,Nimble
408,cucumber,Nimble
409,libmpdclient,Nimble
410,awk,Nimble
411,dotenv,Nimble
412,sph,Nimble
413,libsodium,Nimble
414,aws_sdk,Nimble
415,i18n,Nimble
416,persistent_enums,Nimble
417,nimcl,Nimble
418,nimblas,Nimble
419,fixmath,Nimble
420,nimzend,Nimble
421,spills,Nimble
422,platformer,Nimble
423,nimCEF,Nimble
424,migrate,Nimble
425,subfield,Nimble
426,semver,Nimble
427,ad,Nimble
428,asyncpg,Nimble
429,winregistry,Nimble
430,luna,Nimble
431,qrcode,Nimble
432,circleci_client,Nimble
433,iup,Nimble
434,barbarus,Nimble
435,jsonob,Nimble
436,autome,Nimble
437,wox,Nimble
438,seccomp,Nimble
439,AntTweakBar,Nimble
440,slimdown,Nimble
441,taglib,Nimble
442,des,Nimble
443,bgfx,Nimble
444,json_builder,Nimble
445,mapbits,Nimble
446,faststack,Nimble
447,gpx,Nimble
448,itn,Nimble
449,foliant,Nimble
450,gemf,Nimble
451,Remotery,Nimble
452,picohttpparser,Nimble
453,microasynchttpserver,Nimble
454,react,Nimble
455,react16,Nimble
456,oauth,Nimble
457,jsbind,Nimble
458,uuids,Nimble
459,isaac,Nimble
460,SDF,Nimble
461,WebGL,Nimble
462,fileinput,Nimble
463,classy,Nimble
464,pls,Nimble
465,mn,Nimble
466,min,Nimble
467,boneIO,Nimble
468,ui,Nimble
469,mmgeoip,Nimble
470,libjwt,Nimble
471,forestdb,Nimble
472,nimbox,Nimble
473,psutil,Nimble
474,gapbuffer,Nimble
475,etcd_client,Nimble
476,package_visible_types,Nimble
477,presto,Nimble
478,ranges,Nimble
479,zlib,Nimble
480,json_rpc,Nimble
481,chronos,Nimble
482,serialization,Nimble
483,json_serialization,Nimble
484,ssz_serialization,Nimble
485,confutils,Nimble
486,taskpools,Nimble
487,std_shims,Nimble
488,stew,Nimble
489,faststreams,Nimble
490,bncurve,Nimble
491,eth,Nimble
492,ethers,Nimble
493,metrics,Nimble
494,blscurve,Nimble
495,libp2p,Nimble
496,rlp,Nimble
497,nitro,Nimble
498,eth_keys,Nimble
499,eth_common,Nimble
500,ethash,Nimble
501,eth_bloom,Nimble
502,evmc,Nimble
503,keccak_tiny,Nimble
504,httputils,Nimble
505,rocksdb,Nimble
506,secp256k1,Nimble
507,eth_trie,Nimble
508,eth_p2p,Nimble
509,eth_keyfile,Nimble
510,byteutils,Nimble
511,ttmath,Nimble
512,testutils,Nimble
513,nimbus,Nimble
514,stint,Nimble
515,daemon,Nimble
516,chronicles,Nimble
517,zxcvbn,Nimble
518,stb_image,Nimble
519,mutableseqs,Nimble
520,stor,Nimble
521,linuxfb,Nimble
522,nimactors,Nimble
523,porter,Nimble
524,kiwi,Nimble
525,ArrayFireNim,Nimble
526,statsd_client,Nimble
527,html5_canvas,Nimble
528,alea,Nimble
529,winim,Nimble
530,ed25519,Nimble
531,libevdev,Nimble
532,nesm,Nimble
533,sdnotify,Nimble
534,cmd,Nimble
535,csvtable,Nimble
536,plotly,Nimble
537,gnuplot,Nimble
538,ustring,Nimble
539,imap,Nimble
540,isa,Nimble
541,untar,Nimble
542,nimcx,Nimble
543,dpdk,Nimble
544,serial,Nimble
545,spdk,Nimble
546,NimData,Nimble
547,testrunner,Nimble
548,reactorfuse,Nimble
549,nimr,Nimble
550,neverwinter,Nimble
551,snail,Nimble
552,jswebsockets,Nimble
553,morelogging,Nimble
554,ajax,Nimble
555,recaptcha,Nimble
556,influx,Nimble
557,gamelight,Nimble
558,fontconfig,Nimble
559,sysrandom,Nimble
560,colorize,Nimble
561,cello,Nimble
562,notmuch,Nimble
563,pluginmanager,Nimble
564,node,Nimble
565,tempdir,Nimble
566,mathexpr,Nimble
567,frag,Nimble
568,freetype,Nimble
569,polyBool,Nimble
570,nimAGG,Nimble
571,primme,Nimble
572,sitmo,Nimble
573,webaudio,Nimble
574,nimcuda,Nimble
575,gifwriter,Nimble
576,libplist,Nimble
577,getch,Nimble
578,gifenc,Nimble
579,nimlapack,Nimble
580,jack,Nimble
581,serializetools,Nimble
582,neo,Nimble
583,httpkit,Nimble
584,ulid,Nimble
585,osureplay,Nimble
586,tiger,Nimble
587,pipe,Nimble
588,flatdb,Nimble
589,nwt,Nimble
590,cmixer,Nimble
591,cmixer_sdl2,Nimble
592,chebyshev,Nimble
593,scram,Nimble
594,blake2,Nimble
595,spinny,Nimble
596,nigui,Nimble
597,currying,Nimble
598,rect_packer,Nimble
599,gintro,Nimble
600,arraymancer,Nimble
601,sha3,Nimble
602,coalesce,Nimble
603,asyncmysql,Nimble
604,cassandra,Nimble
605,tf2plug,Nimble
606,oldgtk3,Nimble
607,godot,Nimble
608,vkapi,Nimble
609,slacklib,Nimble
610,wiringPiNim,Nimble
611,redux,Nimble
612,skEasing,Nimble
613,nimquery,Nimble
614,usha,Nimble
615,libgit2,Nimble
616,multicast,Nimble
617,mysqlparser,Nimble
618,fugitive,Nimble
619,dbg,Nimble
620,pylib,Nimble
621,graphemes,Nimble
622,rfc3339,Nimble
623,db_presto,Nimble
624,nimbomb,Nimble
625,csvql,Nimble
626,contracts,Nimble
627,syphus,Nimble
628,analytics,Nimble
629,arraymancer_vision,Nimble
630,variantkey,Nimble
631,genoiser,Nimble
632,hts,Nimble
633,falas,Nimble
634,kmer,Nimble
635,kexpr,Nimble
636,lapper,Nimble
637,gplay,Nimble
638,huenim,Nimble
639,drand48,Nimble
640,ensem,Nimble
641,basic2d,Nimble
642,basic3d,Nimble
643,shiori,Nimble
644,shioridll,Nimble
645,httpauth,Nimble
646,cbor,Nimble
647,base58,Nimble
648,webdriver,Nimble
649,interfaced,Nimble
650,vla,Nimble
651,metatools,Nimble
652,pdcurses,Nimble
653,libuv,Nimble
654,romans,Nimble
655,simpleAST,Nimble
656,timerpool,Nimble
657,zero_functional,Nimble
658,ormin,Nimble
659,karax,Nimble
660,cascade,Nimble
661,chrono,Nimble
662,dbschema,Nimble
663,gentabs,Nimble
664,libgraph,Nimble
665,polynumeric,Nimble
666,unicodedb,Nimble
667,normalize,Nimble
668,nico,Nimble
669,os_files,Nimble
670,sprymicro,Nimble
671,spryvm,Nimble
672,netpbm,Nimble
673,nimgen,Nimble
674,sksbox,Nimble
675,avbin,Nimble
676,fsm,Nimble
677,timezones,Nimble
678,ndf,Nimble
679,unicodeplus,Nimble
680,libsvm,Nimble
681,lilt,Nimble
682,shiori_charset_convert,Nimble
683,grafanim,Nimble
684,nimpy,Nimble
685,simple_graph,Nimble
686,controlStructures,Nimble
687,notetxt,Nimble
688,breeze,Nimble
689,joyent_http_parser,Nimble
690,libsvm_legacy,Nimble
691,clblast,Nimble
692,nimp5,Nimble
693,names,Nimble
694,sha1ext,Nimble
695,libsha,Nimble
696,pwned,Nimble
697,suffer,Nimble
698,metric,Nimble
699,useragents,Nimble
700,nimna,Nimble
701,bencode,Nimble
702,i3ipc,Nimble
703,chroma,Nimble
704,nimrax,Nimble
705,nimbass,Nimble
706,nimkerberos,Nimble
707,nimssh2,Nimble
708,nimssl,Nimble
709,snip,Nimble
710,moduleinit,Nimble
711,mofuw,Nimble
712,scnim,Nimble
713,nimgl,Nimble
714,inim,Nimble
715,nimbigwig,Nimble
716,regex,Nimble
717,tsundoku,Nimble
718,nim_exodus,Nimble
719,nimlibxlsxwriter,Nimble
720,nimclutter,Nimble
721,nimhdf5,Nimble
722,mpfit,Nimble
723,nlopt,Nimble
724,itertools,Nimble
725,sorta,Nimble
726,typelists,Nimble
727,sol,Nimble
728,simdX86,Nimble
729,loopfusion,Nimble
730,tinamou,Nimble
731,cittadino,Nimble
732,consul,Nimble
733,keystone,Nimble
734,units,Nimble
735,ast_pattern_matching,Nimble
736,tissue,Nimble
737,sphincs,Nimble
738,nimpb,Nimble
739,nimpb_protoc,Nimble
740,strunicode,Nimble
741,turn_based_game,Nimble
742,negamax,Nimble
743,translation,Nimble
744,magic,Nimble
745,configparser,Nimble
746,random_font_color,Nimble
747,bytes2human,Nimble
748,nimhttpd,Nimble
749,crc32,Nimble
750,httpbeast,Nimble
751,datetime2human,Nimble
752,sass,Nimble
753,osutil,Nimble
754,binance,Nimble
755,jdec,Nimble
756,nimsnappyc,Nimble
757,nimwc,Nimble
758,shaname,Nimble
759,about,Nimble
760,findtests,Nimble
761,packedjson,Nimble
762,unicode_numbers,Nimble
763,glob,Nimble
764,lda,Nimble
765,mdevolve,Nimble
766,sctp,Nimble
767,sodium,Nimble
768,db_clickhouse,Nimble
769,webterminal,Nimble
770,hpack,Nimble
771,cobs,Nimble
772,bitvec,Nimble
773,nimsvg,Nimble
774,validation,Nimble
775,nimgraphviz,Nimble
776,fab,Nimble
777,kdialog,Nimble
778,nim7z,Nimble
779,nimarchive,Nimble
780,nimpcre,Nimble
781,nimdeps,Nimble
782,intel_hex,Nimble
783,nimha,Nimble
784,fmod,Nimble
785,figures,Nimble
786,ur,Nimble
787,blosc,Nimble
788,fltk,Nimble
789,nim_cexc,Nimble
790,nimclipboard,Nimble
791,skinterpolate,Nimble
792,nimspice,Nimble
793,BN,Nimble
794,nimbioseq,Nimble
795,subhook,Nimble
796,timecop,Nimble
797,openexchangerates,Nimble
798,clr,Nimble
799,duktape,Nimble
800,polypbren,Nimble
801,spdx_licenses,Nimble
802,texttospeech,Nimble
803,nim_tiled,Nimble
804,fragments,Nimble
805,nimline,Nimble
806,nim_telegram_bot,Nimble
807,xiaomi,Nimble
808,vecio,Nimble
809,nmiline,Nimble
810,c_alikes,Nimble
811,memviews,Nimble
812,espeak,Nimble
813,wstp,Nimble
814,uibuilder,Nimble
815,webp,Nimble
816,print,Nimble
817,vmath,Nimble
818,flippy,Nimble
819,typography,Nimble
820,bumpy,Nimble
821,spacy,Nimble
822,urlly,Nimble
823,pixie,Nimble
824,jsony,Nimble
825,dumpincludes,Nimble
826,benchy,Nimble
827,puppy,Nimble
828,globby,Nimble
829,morepretty,Nimble
830,shady,Nimble
831,genny,Nimble
832,hottie,Nimble
833,boxy,Nimble
834,windy,Nimble
835,xdo,Nimble
836,nimblegui,Nimble
837,xml,Nimble
838,soundio,Nimble
839,miniz,Nimble
840,nim_cjson,Nimble
841,nimobserver,Nimble
842,nominatim,Nimble
843,systimes,Nimble
844,overpass,Nimble
845,openstreetmap,Nimble
846,daemonim,Nimble
847,torch,Nimble
848,openweathermap,Nimble
849,finalseg,Nimble
850,openal,Nimble
851,mc_events,Nimble
852,wNim,Nimble
853,redisparser,Nimble
854,redisclient,Nimble
855,hackpad,Nimble
856,redux_nim,Nimble
857,simpledecimal,Nimble
858,fuzzy,Nimble
859,calibre,Nimble
860,nimcb,Nimble
861,finals,Nimble
862,printdebug,Nimble
863,tinyfiledialogs,Nimble
864,spotify,Nimble
865,noise,Nimble
866,prompt,Nimble
867,proxyproto,Nimble
868,criterion,Nimble
869,nanoid,Nimble
870,ndb,Nimble
871,github_release,Nimble
872,nimmonocypher,Nimble
873,dtoa,Nimble
874,ntangle,Nimble
875,nimtess2,Nimble
876,sequoia,Nimble
877,pykot,Nimble
878,witai,Nimble
879,xmldom,Nimble
880,xmldomparser,Nimble
881,list_comprehension,Nimble
882,result,Nimble
883,asciigraph,Nimble
884,bearlibterminal,Nimble
885,rexpaint,Nimble
886,crosscompile,Nimble
887,rodcli,Nimble
888,ngxcmod,Nimble
889,usagov,Nimble
890,argparse,Nimble
891,keyring,Nimble
892,markdown,Nimble
893,nimtomd,Nimble
894,nifty,Nimble
895,urlshortener,Nimble
896,seriesdetiempoar,Nimble
897,usigar,Nimble
898,georefar,Nimble
899,sugerror,Nimble
900,sermon,Nimble
901,vmvc,Nimble
902,arksys,Nimble
903,coco,Nimble
904,nimetry,Nimble
905,snappy,Nimble
906,loadenv,Nimble
907,osrm,Nimble
908,sharedmempool,Nimble
909,css_html_minify,Nimble
910,crap,Nimble
911,algebra,Nimble
912,biblioteca_guarrilla,Nimble
913,nimzbar,Nimble
914,nicy,Nimble
915,replim,Nimble
916,nish,Nimble
917,backoff,Nimble
918,asciitables,Nimble
919,open_elevation,Nimble
920,gara,Nimble
921,ws,Nimble
922,pg,Nimble
923,bgfxdotnim,Nimble
924,niledb,Nimble
925,siphash,Nimble
926,haraka,Nimble
927,genode,Nimble
928,moe,Nimble
929,gatabase,Nimble
930,timespec_get,Nimble
931,urand,Nimble
932,awslambda,Nimble
933,vec,Nimble
934,nimgui,Nimble
935,unpack,Nimble
936,nsh,Nimble
937,nimfastText,Nimble
938,treesitter,Nimble
939,treesitter_agda,Nimble
940,treesitter_bash,Nimble
941,treesitter_c,Nimble
942,treesitter_c_sharp,Nimble
943,treesitter_cpp,Nimble
944,treesitter_css,Nimble
945,treesitter_go,Nimble
946,treesitter_haskell,Nimble
947,treesitter_html,Nimble
948,treesitter_java,Nimble
949,treesitter_javascript,Nimble
950,treesitter_ocaml,Nimble
951,treesitter_php,Nimble
952,treesitter_python,Nimble
953,treesitter_ruby,Nimble
954,treesitter_rust,Nimble
955,treesitter_scala,Nimble
956,treesitter_typescript,Nimble
957,nimterop,Nimble
958,ringDeque,Nimble
959,nimfuzzy,Nimble
960,nimassets,Nimble
961,loco,Nimble
